id_produto,nome_produto,categoria,subcategoria,marca,preco_unitario,custo_unitario
1,Decoração Ipsam 1,Casa,Decoração,Bruma,211.8,90.96
2,Perfumaria Recusandae 2,Beleza,Perfumaria,Zenith,1151.06,596.51
3,Maquiagem Magnam 3,Beleza,Maquiagem,Vivalta,489.61,237.23
4,Outdoor Assumenda 4,Esporte,Outdoor,Nortem,1890.41,765.79
5,Perfumaria Accusamus 5,Beleza,Perfumaria,Kairo,30.9,20.24
6,Fitness Dolore 6,Esporte,Fitness,Bruma,1544.84,730.07
7,Cozinha Nesciunt 7,Casa,Cozinha,Solvex,876.77,441.83
8,Feminino Voluptates 8,Moda,Feminino,Aurora,903.56,364.56
9,Masculino Architecto 9,Moda,Masculino,Aurora,800.51,590.71
10,Outdoor Beatae 10,Esporte,Outdoor,Kairo,615.69,449.71
11,Móveis Ipsum 11,Casa,Móveis,Zenith,575.52,271.14
12,Celulares Culpa 12,Eletrônicos,Celulares,Solvex,1469.35,743.62
13,Maquiagem Labore 13,Beleza,Maquiagem,Kairo,552.07,247.91
14,Móveis Error 14,Casa,Móveis,Zenith,1015.33,629.38
15,Infantil Ducimus 15,Moda,Infantil,Vivalta,118.57,63.86
16,Maquiagem Laborum 16,Beleza,Maquiagem,Zenith,543.74,328.7
17,Decoração Ullam 17,Casa,Decoração,Solvex,437.82,295.03
18,Maquiagem Vitae 18,Beleza,Maquiagem,Solvex,743.22,385.14
19,Celulares Vitae 19,Eletrônicos,Celulares,Bruma,958.12,538.46
20,Maquiagem Repudiandae 20,Beleza,Maquiagem,Nortem,253.65,202.62
21,Fitness Facilis 21,Esporte,Fitness,Nortem,598.92,314.84
22,Acessórios Nulla 22,Eletrônicos,Acessórios,Solvex,1112.82,659.47
23,Cuidados com a Pele Tempora 23,Beleza,Cuidados com a Pele,Bruma,625.55,394.58
24,Feminino Sit 24,Moda,Feminino,Zenith,1011.94,415.98
25,Maquiagem Labore 25,Beleza,Maquiagem,Bruma,20.29,15.79
26,Infantil Aliquid 26,Moda,Infantil,Kairo,460.78,345.13
27,Ciclismo Nulla 27,Esporte,Ciclismo,Bruma,847.72,655.24
28,Masculino Id 28,Moda,Masculino,Aurora,608.11,372.79
29,Celulares Aperiam 29,Eletrônicos,Celulares,Aurora,230.05,150.61
30,Perfumaria Possimus 30,Beleza,Perfumaria,Vivalta,1262.29,729.68
31,Outdoor Consequuntur 31,Esporte,Outdoor,Aurora,443.58,259.96
32,Perfumaria Numquam 32,Beleza,Perfumaria,Solvex,1035.43,516.72
33,Perfumaria Voluptatibus 33,Beleza,Perfumaria,Kairo,729.63,563.7
34,Notebooks Eaque 34,Eletrônicos,Notebooks,Aurora,1005.42,631.64
35,Decoração Delectus 35,Casa,Decoração,Aurora,706.31,311.32
36,Fitness Officiis 36,Esporte,Fitness,Vivalta,594.22,431.44
37,Cuidados com a Pele Saepe 37,Beleza,Cuidados com a Pele,Bruma,1066.15,768.51
38,Móveis Quo 38,Casa,Móveis,Aurora,859.49,447.28
39,Celulares Architecto 39,Eletrônicos,Celulares,Kairo,791.86,462.45
40,Notebooks Libero 40,Eletrônicos,Notebooks,Bruma,380.71,175.94
41,Móveis Voluptatum 41,Casa,Móveis,Kairo,685.34,336.0
42,Masculino Rerum 42,Moda,Masculino,Nortem,311.0,155.35
43,Masculino Veniam 43,Moda,Masculino,Solvex,343.26,153.27
44,Acessórios Maiores 44,Eletrônicos,Acessórios,Nortem,716.81,374.4
45,Notebooks Temporibus 45,Eletrônicos,Notebooks,Vivalta,187.71,87.58
46,Decoração Aliquam 46,Casa,Decoração,Aurora,228.38,111.29
47,Cozinha Eveniet 47,Casa,Cozinha,Vivalta,94.57,65.15
48,Outdoor Vel 48,Esporte,Outdoor,Kairo,793.75,496.91
49,Infantil At 49,Moda,Infantil,Vivalta,1030.1,457.82
50,Masculino Architecto 50,Moda,Masculino,Bruma,571.87,257.44
51,Outdoor Accusamus 51,Esporte,Outdoor,Bruma,926.05,673.69
52,Decoração Mollitia 52,Casa,Decoração,Nortem,625.97,375.65
53,Ciclismo Illo 53,Esporte,Ciclismo,Aurora,195.72,95.98
54,Móveis Veritatis 54,Casa,Móveis,Bruma,1039.3,714.12
55,Acessórios Soluta 55,Eletrônicos,Acessórios,Kairo,85.17,69.57
