id_venda,id_pedido,id_cliente,id_produto,id_loja,data_venda,quantidade,preco_unitario,valor_desconto,forma_pagamento
1,2,866,156,5,2025-02-20,3,497.24,74.59,Cartão de Crédito
2,2,926,265,2,2026-06-26,2,623.6,62.36,Cartão de Crédito
3,2,278,93,7,2026-03-16,5,529.9,397.43,Cartão de Débito
4,2,930,166,10,2025-03-05,4,52.91,0.0,Pix
5,3,1329,47,15,2026-08-12,3,94.57,0.0,Pix
6,3,921,64,11,2026-08-27,1,298.05,0.0,Boleto
7,3,1489,44,13,2025-10-01,5,716.81,537.61,Pix
8,3,1574,194,3,2024-10-17,5,511.69,127.92,Boleto
9,4,106,84,7,2026-09-02,2,620.58,0.0,Boleto
10,4,371,159,2,2026-06-06,4,784.59,0.0,Pix
11,5,940,2,8,2024-09-15,5,1151.06,0.0,Cartão de Débito
12,5,488,279,4,2026-01-21,1,1181.4,118.14,Cartão de Débito
13,6,1230,210,1,2026-05-11,4,712.27,0.0,Pix
14,6,1142,281,14,2026-06-08,3,254.51,76.35,Pix
15,6,1338,26,6,2024-10-29,2,460.78,0.0,Cartão de Crédito
16,6,1717,75,10,2026-04-17,1,432.8,64.92,Boleto
17,7,366,45,3,2025-11-03,1,187.71,0.0,Boleto
18,7,1535,294,10,2025-12-13,5,860.4,0.0,Boleto
19,7,755,19,15,2025-07-30,1,958.12,0.0,Cartão de Débito
20,8,965,219,3,2025-06-29,5,1023.98,0.0,Cartão de Crédito
21,9,430,169,12,2026-02-22,5,605.87,151.47,Pix
22,9,1084,30,2,2026-06-09,1,1262.29,126.23,Cartão de Débito
23,9,532,148,9,2025-07-24,4,276.53,110.61,Boleto
24,10,1020,289,8,2026-06-12,4,1282.77,513.11,Pix
25,10,243,120,1,2024-09-04,3,1701.13,0.0,Cartão de Débito
26,11,94,107,6,2025-10-31,5,454.23,113.56,Boleto
27,12,522,6,13,2025-06-18,2,1544.84,463.45,Cartão de Crédito
28,12,664,158,13,2026-03-20,3,1242.23,372.67,Cartão de Crédito
29,13,1262,171,1,2026-04-08,3,609.89,91.48,Pix
30,14,1877,170,8,2026-01-06,3,1252.04,563.42,Cartão de Crédito
31,14,944,70,15,2026-06-07,4,514.46,0.0,Boleto
32,15,1158,212,12,2025-07-06,1,826.84,82.68,Boleto
33,15,1183,285,11,2025-04-04,5,1490.5,0.0,Boleto
34,15,1722,182,1,2025-06-17,1,1463.1,0.0,Boleto
35,15,1241,193,7,2026-04-10,5,233.82,0.0,Pix
36,16,557,158,7,2024-10-05,3,1242.23,559.0,Cartão de Crédito
37,17,443,122,9,2025-07-09,3,1350.74,202.61,Boleto
38,17,1593,90,4,2024-10-11,1,800.14,0.0,Cartão de Crédito
39,17,1854,228,9,2026-01-10,5,415.71,0.0,Pix
40,17,636,98,13,2026-02-21,3,802.71,120.41,Boleto
41,18,421,51,12,2025-01-16,5,926.05,694.54,Cartão de Crédito
42,18,238,236,1,2026-02-19,4,516.32,309.79,Boleto
43,19,212,45,9,2024-10-20,3,187.71,28.16,Boleto
44,20,658,296,4,2025-04-05,3,543.04,244.37,Pix
45,21,1375,142,2,2025-11-28,5,763.58,0.0,Boleto
46,21,32,77,10,2024-12-29,2,821.53,0.0,Cartão de Crédito
47,21,653,106,5,2026-03-19,5,18.7,0.0,Pix
48,22,638,294,10,2024-11-14,2,860.4,0.0,Boleto
49,22,60,277,8,2025-01-14,4,731.97,0.0,Cartão de Crédito
50,22,874,55,7,2024-11-30,4,85.17,0.0,Pix
51,23,1461,183,13,2025-03-24,3,987.91,0.0,Cartão de Crédito
52,23,1665,239,13,2024-12-07,5,289.22,0.0,Cartão de Débito
53,23,1320,50,12,2026-08-04,4,571.87,0.0,Cartão de Débito
54,23,1764,241,15,2025-01-28,2,66.18,0.0,Boleto
55,24,677,201,13,2026-07-16,2,232.65,69.8,Boleto
56,24,974,233,2,2024-11-08,4,1109.58,0.0,Boleto
57,24,1573,246,6,2025-06-19,4,91.63,0.0,Pix
58,25,1331,208,2,2026-03-26,1,275.76,0.0,Boleto
59,26,1272,206,4,2025-05-05,5,637.29,159.32,Pix
60,26,427,247,14,2025-08-17,4,1244.11,0.0,Cartão de Débito
61,26,1422,223,4,2026-03-14,5,771.16,0.0,Pix
62,26,1213,40,10,2024-12-29,5,380.71,95.18,Cartão de Débito
63,27,631,285,7,2025-03-02,1,1490.5,74.53,Cartão de Crédito
64,27,1013,56,11,2025-08-04,5,1028.11,257.03,Cartão de Crédito
65,27,1850,47,13,2026-04-20,2,94.57,0.0,Cartão de Crédito
66,28,799,77,10,2025-06-28,4,821.53,328.61,Cartão de Débito
67,28,614,101,10,2025-07-24,2,826.07,247.82,Boleto
68,29,1253,177,9,2024-09-11,1,906.18,90.62,Cartão de Débito
69,29,1846,66,9,2025-09-16,3,1724.65,0.0,Cartão de Crédito
70,29,1764,1,5,2024-12-24,5,211.8,0.0,Cartão de Crédito
71,29,808,121,11,2026-04-30,4,368.63,221.18,Boleto
72,30,433,208,11,2026-03-15,4,275.76,55.15,Pix
73,30,788,244,14,2026-03-25,2,486.99,0.0,Boleto
74,30,258,214,3,2026-07-21,2,835.96,0.0,Cartão de Crédito
75,30,1348,37,7,2026-01-14,1,1066.15,0.0,Pix
76,31,1238,71,15,2026-08-16,4,672.31,134.46,Cartão de Débito
77,32,1680,233,8,2026-03-22,5,1109.58,277.39,Cartão de Débito
78,32,1239,182,1,2025-11-11,2,1463.1,0.0,Cartão de Débito
79,33,1181,257,6,2026-03-16,3,642.61,96.39,Cartão de Crédito
80,33,755,20,2,2026-08-25,5,253.65,63.41,Cartão de Débito
81,34,1059,73,2,2025-12-23,5,144.39,0.0,Cartão de Crédito
82,35,1105,242,13,2026-06-13,1,1086.89,163.03,Boleto
83,35,961,28,8,2024-09-14,3,608.11,182.43,Cartão de Débito
84,36,344,216,1,2025-06-26,3,783.09,0.0,Boleto
85,36,970,289,10,2026-06-09,3,1282.77,0.0,Pix
86,36,1657,294,12,2025-06-28,1,860.4,129.06,Cartão de Crédito
